userId,txid,createdAt,pay,per,skill,portfolio,available,bio
4000,ca4a342c6dea1fcac4659a072cfacc7a4a7ea25d872d510877ce543541505ee0,2021-12-26T01:38:11.033339+00:00,10 BSV,Week,Web Dev,Happy clients,✅,"Let me completely redesign your web site, add functionality, and make it work for all screen sizes using Zurb's Foundation front-end framework. "
29062,eb19a48a7382480eff9181b3cf1ef5ed9b7eb68a71defb711a88fc25146c3bc8,2021-12-28T09:23:12.239631+00:00,0.4 BSV,Hour,Devil's Advocate Discussion,Upon Request,✅,"My aim is to cast a critical, yet helpful, eye on any topic you choose. The end goal is to add value to you and those around you."
6333,0e5f33029a0389973a05104b4cef33357ff66075a36c15107a070c1fd920050b,2022-01-04T23:54:11.215918+00:00,0.5 BSV,Hour,Recruiter,https://www.linkedin.com/in/rory-zimmerman-08a8b38b/ ,✅ ,"Targeting, Sourcing passive candidates, Interviewing, Hiring, Onboarding, Training new hires"
5546,d78bb78f9f37fd098ee2a3d1d0a2c4c03b19f8cfed7c5565ce3e52c15a3a915b,2022-01-13T08:12:27.669332+00:00,Negotiable,Lesson/Tip,Chef/Recipe creating and cooking methods explained and/or demonstrated.,Will show upon request,✅ ,"36 year old chef from New Orleans, LA - I have been in the restaurant business for about 20 years. While I have not gone to culinary school, I have been formally trained on the job and can cook just about anything but specialize in Cajun New Orleans cuisine."
51697,342123116a521a342a3284936c84f41d87c5da12b1e714aaf645a90c6a115c06,2022-01-13T08:27:57.377791+00:00,Negotiable,Job,"Screen printing on T-Shirts, hoodies, and several other materials (trading cards, posters, etc.) + We peg collectibles to NFTs.",https://www.instagram.com/pegged.digital/,✅,This is a project that is offering the service of printing your custom designs or art on almost anything you want it printed on. The printer (@279 ) is a professional screen printer who has been in business for over 20 years and is a true alchemist and extremely detail oriented. Only quality prints come from his shop. We can handle large and small jobs and price depends on what you are wanting us to do. Contact us for any more details.
46019,1dde7615716f88b81581f4073909217ffac21d685b30f9b9f17767dc7e07b44b,2022-01-15T20:52:38.748322+00:00,0.69 BSV - 2.22 BSV,Project,"Album Art Cover,Poster Design,Logo,Graphic Design,Icon,Some 3D",https://www.instagram.com/inkst.r/,✅,"I am a student majoring in communication and visual design, have skills in several design software such as Adobe Photoshop, Blender 3D, Coreldraw, Adobe Premier, Ready to help you.."
195,1eaf594750ca23993880a435524b7ee40da0c4fbd2c5e7cc91fc338b9427e639,2022-01-19T17:34:58.689737+00:00,0.25 or 0.5,Item,Forensic NFT tracking,"If there is any RareCandy NFT you want to find, I can get you the Twetch ID of the wallet holding the item.  If the item has sold on the RC secondary market and you have the link from the sale, I will charge 0.25 BSV.  If you do not have a sales link but provide NFT Collection Number from https://liddlebit.com/, I will charge 0.5 BSV to find owner.  If you want non-RareCandy NFTs, I may be able to do those as well for a modified cost, but don't have it down to science yet.","Ad hoc, jobs can be done in under 30 minutes ",I found the sky without an owner
58529,24b4e7e9c4a7b273a2e75f8b58e0a824c541e309911e42aafd35e115ad19e5fe,2022-01-25T02:53:14.066739+00:00,$500,"Custom Built Fitness Program; 3 months (intro, diagnostic, prescription, accountability, feedback reviews & form correction)",Equinox Personal Trainer,instagram.com/sean_supple,✅,"Fitness is simple af. 1) You *decide* that you want to improve. 2) You figure out where you're at (baseline) AKA you're ""normal"" sleep, diet, & activity level. 3) You develop a plan to increase your baseline. "
58043,6216d36a80e894949ac6a95851b4e58d1c6a35f72365f9b93a916eab8dddf015,2023-03-22T07:32:57.058782+00:00,$money,Advert,Building,@58043,✅,& here is the bio. 
58043,6c2185de1d968d48aa44f5a6d2bd26024bb6edbb201255e22ac271e731b24086,2023-03-22T07:57:37.43802+00:00,$money,Advert,Building,@Bizniz.Builders,✅,& here is the bio.
55,4be828a4f072b4a375cf1e9188b7a8cd7c383971ae1dbe756219b9959e458205,2023-03-24T13:19:01.326093+00:00,5 BSV,Project,Strategy ,https://blog.twetch.com/author/vincent/,Yes,TBC
"55","3b1e8f768314af3be62640b4168e46194e54cc441a8c5e2f99f8bbd36ca6130c","2023-03-25T11:08:01.608095+00:00","$","test","test","test","test","test"
"55","da6403331d44122f8dae7c0b89e44cef46c8d14dfd2be4998b973c728b249d77","2023-03-25T11:10:12.929634+00:00","test 2","test 2","test 2","test 2","test 2","test 2"
